,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,ticker
167,164152,1.0896,1.09555,1.0933,1.0959,1.0843,2023-06-23,164152,eurusd
168,1,1.0932,1.0932,1.0932,1.0932,1.0932,2023-06-24,1,eurusd
169,4236,1.0904,1.08996,1.0906,1.09098,1.08936,2023-06-25,4236,eurusd
170,142717,1.0906,1.09064,1.09098,1.0921,1.0886,2023-06-26,142717,eurusd
171,144689,1.0943,1.09097,1.09576,1.0972,1.0901,2023-06-27,144689,eurusd
172,158003,1.0935,1.09574,1.09151,1.09622,1.0896,2023-06-28,158003,eurusd
173,156682,1.0894,1.0917,1.08674,1.09413,1.0859,2023-06-29,156682,eurusd
174,154481,1.0885,1.08672,1.092,1.0932,1.0834,2023-06-30,154481,eurusd
175,2668,1.0909,1.0911,1.0906,1.09127,1.09048,2023-07-02,2668,eurusd
176,136422,1.0903,1.09074,1.09125,1.09339,1.0869,2023-07-03,136422,eurusd
177,99507,1.0899,1.0913,1.08823,1.0917,1.0875,2023-07-04,99507,eurusd
178,116975,1.0875,1.08825,1.08549,1.0908,1.08498,2023-07-05,116975,eurusd
179,141829,1.0868,1.08552,1.08896,1.09005,1.0832,2023-07-06,141829,eurusd
180,151162,1.0913,1.08897,1.0975,1.0976,1.0865,2023-07-07,151162,eurusd
181,2,1.097,1.0971,1.0969,1.0971,1.0969,2023-07-08,2,eurusd
182,3382,1.0966,1.0968,1.0968,1.097,1.0957,2023-07-09,3382,eurusd
183,157163,1.0969,1.09668,1.1004,1.1009,1.0942,2023-07-10,157163,eurusd
184,148615,1.1003,1.10051,1.10134,1.10269,1.0976,2023-07-11,148615,eurusd
185,171535,1.1071,1.10133,1.11405,1.1141,1.101,2023-07-12,171535,eurusd
186,166823,1.1176,1.11403,1.12235,1.123,1.1128,2023-07-13,166823,eurusd
187,188716,1.1228,1.12233,1.1246,1.1247,1.11878,2023-07-14,188716,eurusd
188,1,1.1235,1.1235,1.1235,1.1235,1.1235,2023-07-15,1,eurusd
189,3889,1.1227,1.12228,1.12272,1.12364,1.12228,2023-07-16,3889,eurusd
190,160871,1.1232,1.1227,1.12374,1.1249,1.1203,2023-07-17,160871,eurusd
191,198921,1.124,1.12371,1.12282,1.12757,1.12084,2023-07-18,198921,eurusd
192,197853,1.1213,1.12278,1.12048,1.12402,1.1173,2023-07-19,197853,eurusd
193,196468,1.1182,1.1205,1.11344,1.12291,1.1117,2023-07-20,196468,eurusd
194,175028,1.1129,1.11344,1.1132,1.1145,1.1107,2023-07-21,175028,eurusd
195,2,1.1129,1.1131,1.1127,1.1131,1.1127,2023-07-22,2,eurusd
196,3833,1.1127,1.1124,1.1124,1.11336,1.1119,2023-07-23,3833,eurusd
197,189129,1.1093,1.11243,1.10629,1.1147,1.1058,2023-07-24,189129,eurusd
198,177460,1.1057,1.10627,1.105,1.1087,1.102,2023-07-25,177460,eurusd
199,203704,1.1068,1.10498,1.10777,1.11065,1.1036,2023-07-26,203704,eurusd
200,236494,1.1054,1.10777,1.09778,1.115,1.0964,2023-07-27,236494,eurusd
201,234222,1.0995,1.09779,1.1035,1.10476,1.09429,2023-07-28,234222,eurusd
202,4338,1.1025,1.10104,1.10236,1.10279,1.10104,2023-07-30,4338,eurusd
203,195114,1.1018,1.10235,1.09965,1.1046,1.09914,2023-07-31,195114,eurusd
204,183278,1.0979,1.09965,1.10073,1.102,1.0952,2023-08-01,183278,eurusd
205,214655,1.0967,1.10076,1.09433,1.10076,1.0917,2023-08-02,214655,eurusd
206,205316,1.0935,1.0943,1.09506,1.09626,1.0911,2023-08-03,205316,eurusd
207,189973,1.0981,1.09511,1.1025,1.10418,1.0934,2023-08-04,189973,eurusd
208,4500,1.1005,1.10047,1.10023,1.10136,1.0999,2023-08-06,4500,eurusd
209,175817,1.0993,1.10022,1.10025,1.1013,1.0964,2023-08-07,175817,eurusd
210,199495,1.0966,1.10024,1.09588,1.1011,1.09287,2023-08-08,199495,eurusd
211,179243,1.0976,1.09593,1.0976,1.0996,1.0954,2023-08-09,179243,eurusd
212,201138,1.1005,1.09769,1.09814,1.10647,1.0966,2023-08-10,201138,eurusd
213,187753,1.0977,1.09816,1.0963,1.1005,1.0941,2023-08-11,187753,eurusd
214,3475,1.0944,1.09418,1.09431,1.09568,1.09396,2023-08-13,3475,eurusd
215,198917,1.0925,1.0943,1.0906,1.0961,1.0874,2023-08-14,198917,eurusd
216,204379,1.0922,1.09076,1.09034,1.09523,1.08952,2023-08-15,204379,eurusd
217,215973,1.0906,1.09037,1.08745,1.0935,1.087,2023-08-16,215973,eurusd
218,220713,1.0878,1.08743,1.08741,1.0919,1.0855,2023-08-17,220713,eurusd
219,200211,1.0874,1.08743,1.089,1.0894,1.08112,2023-08-18,200211,eurusd
220,2639,1.0874,1.08657,1.08747,1.08783,1.08641,2023-08-20,2639,eurusd
221,116892,1.089,1.08745,1.08973,1.0914,1.0868,2023-08-21,116892,eurusd
222,120174,1.088,1.08971,1.0845,1.09303,1.0831,2023-08-22,120174,eurusd
223,134040,1.0841,1.08462,1.0864,1.0872,1.0801,2023-08-23,134040,eurusd
224,124176,1.0842,1.08655,1.07985,1.0877,1.0792,2023-08-24,124176,eurusd
225,124121,1.0794,1.07983,1.0794,1.08411,1.0765,2023-08-25,124121,eurusd
226,3378,1.0797,1.07638,1.07966,1.08008,1.07638,2023-08-27,3378,eurusd
227,169067,1.0809,1.07969,1.08256,1.083,1.0795,2023-08-28,169067,eurusd
228,195837,1.0832,1.08256,1.08692,1.0893,1.0781,2023-08-29,195837,eurusd
229,186346,1.0901,1.08691,1.09294,1.09456,1.0854,2023-08-30,186346,eurusd
230,187058,1.0873,1.09292,1.0842,1.09396,1.0833,2023-08-31,187058,eurusd
