,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
88,52584,2.8809,2.88,2.97,2.99,2.79,2023-05-10 04:00:00,253,10101,luxh
89,3523,2.9922,3.0,2.94,3.05,2.94,2023-05-11 04:00:00,46,10101,luxh
90,25903,2.8738,2.95,2.9297,2.98,2.8,2023-05-12 04:00:00,83,10101,luxh
91,43538,2.8759,2.85,2.86,2.9601,2.85,2023-05-15 04:00:00,139,10101,luxh
92,41630,2.8671,2.9899,2.92,2.9899,2.78,2023-05-16 04:00:00,215,10101,luxh
93,80991,3.0207,2.92,3.05,3.2,2.8,2023-05-17 04:00:00,523,10101,luxh
94,15247,3.0099,3.055,2.97,3.06,2.93,2023-05-18 04:00:00,120,10101,luxh
95,286566,3.268,3.01,3.5,3.55,3.0,2023-05-19 04:00:00,989,10101,luxh
96,122756,3.6196,3.55,3.75,3.75,3.4201,2023-05-22 04:00:00,457,10101,luxh
97,134171,3.6988,3.7301,3.64,3.775,3.6,2023-05-23 04:00:00,780,10101,luxh
98,47158,3.627,3.84,3.57,3.84,3.5102,2023-05-24 04:00:00,221,10101,luxh
99,64224,3.4704,3.76,3.48,3.76,3.26,2023-05-25 04:00:00,448,10101,luxh
100,84970,3.573,3.54,3.55,3.71,3.53,2023-05-26 04:00:00,416,10101,luxh
101,56494,3.5003,3.44,3.57,3.5794,3.44,2023-05-30 04:00:00,255,10101,luxh
102,64706,3.5113,3.595,3.65,3.65,3.42,2023-05-31 04:00:00,391,10101,luxh
103,28469,3.534,3.72,3.42,3.72,3.42,2023-06-01 04:00:00,208,10101,luxh
104,19841,3.3319,3.4,3.39,3.46,3.3,2023-06-02 04:00:00,226,10101,luxh
105,19709,3.4192,3.4785,3.45,3.49,3.3773,2023-06-05 04:00:00,297,10101,luxh
106,271841,3.2013,3.27,3.39,3.425,3.06,2023-06-06 04:00:00,806,10101,luxh
107,152667,3.1034,3.3,2.955,3.34,2.7,2023-06-07 04:00:00,646,10101,luxh
108,58692,2.9597,2.92,2.97,3.05,2.8601,2023-06-08 04:00:00,350,10101,luxh
109,67412,3.0356,3.0,3.025,3.075,2.99,2023-06-09 04:00:00,422,10101,luxh
110,25414,3.0211,3.0,3.0,3.09,2.9438,2023-06-12 04:00:00,369,10101,luxh
111,241849,3.0364,3.06,2.98,3.06,2.95,2023-06-13 04:00:00,401,10101,luxh
112,19223,2.9918,3.02,2.96,3.061,2.96,2023-06-14 04:00:00,320,10101,luxh
113,57235,3.0099,3.06,2.96,3.07,2.96,2023-06-15 04:00:00,351,10101,luxh
114,194483,3.042,3.08,3.12,3.23,2.82,2023-06-16 04:00:00,328,10101,luxh
115,22199,2.9981,3.07,2.89,3.13,2.88,2023-06-20 04:00:00,315,10101,luxh
116,33027,2.9928,3.01,2.92,3.02,2.9,2023-06-21 04:00:00,338,10101,luxh
117,1119,2.951,2.9592,2.9589,2.99,2.8764,2023-06-22 04:00:00,37,10101,luxh
118,404289,2.771,2.92,2.83,2.99,2.75,2023-06-23 04:00:00,575,10101,luxh
119,48187,2.7859,2.86,2.74,2.86,2.71,2023-06-26 04:00:00,324,10101,luxh
120,128479,2.8463,2.74,2.91,2.91,2.73,2023-06-27 04:00:00,602,10101,luxh
121,408149,3.1001,2.998,3.11,3.38,2.9,2023-06-28 04:00:00,1359,10101,luxh
122,31591,3.106,3.07,3.13,3.1714,3.07,2023-06-29 04:00:00,179,10101,luxh
123,553417,3.1533,3.07,3.15,3.33,3.07,2023-06-30 04:00:00,794,10101,luxh
124,106204,3.1077,3.2,3.14,3.2199,2.904,2023-07-03 04:00:00,399,10101,luxh
125,49970,3.1326,3.05,3.15,3.22,3.05,2023-07-05 04:00:00,215,10101,luxh
126,37801,3.054,3.0578,3.1,3.15,2.9101,2023-07-06 04:00:00,181,10101,luxh
127,70047,3.054,2.98,3.05,3.12,2.95,2023-07-07 04:00:00,238,10101,luxh
128,76919,3.0046,3.08,3.04,3.11,2.9,2023-07-10 04:00:00,144,10101,luxh
129,283881,2.9019,2.97,2.85,3.11,2.81,2023-07-11 04:00:00,183,10101,luxh
130,60247,2.8805,2.81,3.05,3.1,2.7079,2023-07-12 04:00:00,322,10101,luxh
131,92085,3.013,3.0,3.03,3.09,2.99,2023-07-13 04:00:00,160,10101,luxh
132,41214,2.9722,2.99,3.0,3.0476,2.85,2023-07-14 04:00:00,166,10101,luxh
133,50714,3.0241,3.011,3.05,3.07,3.0,2023-07-17 04:00:00,139,10101,luxh
134,18707,2.9207,2.95,3.04,3.0523,2.89,2023-07-18 04:00:00,107,10101,luxh
135,40907,2.993,3.07,2.96,3.07,2.96,2023-07-19 04:00:00,149,10101,luxh
136,22050,2.8435,2.9135,2.8,2.93,2.7701,2023-07-20 04:00:00,116,10101,luxh
137,83888,2.8107,2.88,2.88,2.91,2.68,2023-07-21 04:00:00,279,10101,luxh
138,88817,2.9155,2.9,3.05,3.06,2.75,2023-07-24 04:00:00,449,10101,luxh
139,90020,3.1273,3.05,3.19,3.19,3.05,2023-07-25 04:00:00,553,10101,luxh
140,54212,3.1363,3.2,3.18,3.2,3.04,2023-07-26 04:00:00,423,10101,luxh
141,26340,3.0384,3.16,3.03,3.16,2.92,2023-07-27 04:00:00,144,10101,luxh
142,39991,3.0041,2.9697,3.05,3.05,2.95,2023-07-28 04:00:00,244,10101,luxh
143,49122,2.9788,3.15,3.0,3.15,2.92,2023-07-31 04:00:00,239,10101,luxh
